#PY	PYTONE	WG	YALE	GI	BPMF	GR	FR	TY
a,a0,a5	a	a,a0,a5	a,a0,a5	a,a0,a5	ㄚ˙,ㄚ	.a	a,a0,a5	a
a1	ā	a1	a1	a1	ㄚˉ	a	a1	a1
a2	á	a2	a2	a2	ㄚˊ	ar	a2	a2
a3	ǎ	a3	a3	a3	ㄚˇ	aa	a3	a3
a4	à	a4	a4	a4	ㄚˋ	ah	a4	a4
ai,ai0,ai5	ai	ai,ai0,ai5	ai,ai0,ai5	ai,ai0,ai5	ㄞ˙,ㄞ	.ai	ngai,ngai0,ngai5	ai
ai1	āi	ai1	ai1	ai1	ㄞˉ	ai	ngai1	ai1
ai2	ái	ai2	ai2	ai2	ㄞˊ	air	ngai2	ai2
ai3	ǎi	ai3	ai3	ai3	ㄞˇ	ae	ngai3	ai3
ai4	ài	ai4	ai4	ai4	ㄞˋ	ay	ngai4	ai4
an,an0,an5	an	an,an0,an5	an,an0,an5	an,an0,an5	ㄢ˙,ㄢ	.an	ngan,ngan0,ngan5	an
an1	ān	an1	an1	an1	ㄢˉ	an	ngan1	an1
an2	án	an2	an2	an2	ㄢˊ	arn	ngan2	an2
an3	ǎn	an3	an3	an3	ㄢˇ	aan	ngan3	an3
an4	àn	an4	an4	an4	ㄢˋ	ann	ngan4	an4
ang,ang0,ang5	ang	ang,ang0,ang5	ang,ang0,ang5	ang,ang0,ang5	ㄤ˙,ㄤ	.ang	ngang,ngang0,ngang5	ang
ang1	āng	ang1	ang1	ang1	ㄤˉ	ang	ngang1	ang1
ang2	áng	ang2	ang2	ang2	ㄤˊ	arng	ngang2	ang2
ang3	ǎng	ang3	ang3	ang3	ㄤˇ	aang	ngang3	ang3
ang4	àng	ang4	ang4	ang4	ㄤˋ	anq	ngang4	ang4
ao,ao0,ao5	ao	ao,ao0,ao5	au,au0,au5	au,au0,au5	ㄠ˙,ㄠ	.au	ngao,ngao0,ngao5	ao
ao1	āo	ao1	au1	au1	ㄠˉ	au	ngao1	ao1
ao2	áo	ao2	au2	au2	ㄠˊ	aur	ngao2	ao2
ao3	ǎo	ao3	au3	au3	ㄠˇ	ao	ngao3	ao3
ao4	ào	ao4	au4	au4	ㄠˋ	aw	ngao4	ao4
ba,ba0,ba5	ba	pa,pa0,pa5	ba,ba0,ba5	ba,ba0,ba5	ㄅㄚ˙,ㄅㄚ	.ba	pa,pa0,pa5	ba
ba1	bā	pa1	ba1	ba1	ㄅㄚˉ	ba	pa1	ba1
ba2	bá	pa2	ba2	ba2	ㄅㄚˊ	bar	pa2	ba2
ba3	bǎ	pa3	ba3	ba3	ㄅㄚˇ	baa	pa3	ba3
ba4	bà	pa4	ba4	ba4	ㄅㄚˋ	bah	pa4	ba4
bai,bai0,bai5	bai	pai,pai0,pai5	bai,bai0,bai5	bai,bai0,bai5	ㄅㄞ˙,ㄅㄞ	.bai	pai,pai0,pai5	bai
bai1	bāi	pai1	bai1	bai1	ㄅㄞˉ	bai	pai1	bai1
bai2	bái	pai2	bai2	bai2	ㄅㄞˊ	bair	pai2	bai2
bai3	bǎi	pai3	bai3	bai3	ㄅㄞˇ	bae	pai3	bai3
bai4	bài	pai4	bai4	bai4	ㄅㄞˋ	bay	pai4	bai4
